rel_path,eye_angle,chin_length,eyebrow_shape,eyebrow_thickness,face_shape,hair,face_color,hair_color,glasses
0/cs12385031123513612004.png,1,0,5,1,5,65,2,8,11
0/cs1213446833171185255.png,0,0,6,1,3,38,1,6,0
0/cs1182038763634098519.png,1,1,9,2,2,100,7,5,9
0/cs12147983970397376698.png,0,0,10,0,6,43,8,2,11
0/cs12757528008352623916.png,0,1,10,2,0,16,7,4,3
0/cs11769651690570471879.png,0,2,13,2,6,101,7,3,0
0/cs12315899470378916613.png,0,0,7,0,4,75,7,8,11
0/cs12856175746726004471.png,1,2,11,1,1,94,2,5,11
0/cs12292308861767231670.png,2,2,0,2,1,12,1,8,11
0/cs1207037442202560837.png,2,2,1,3,2,24,3,2,4
0/cs12549205184923862647.png,0,2,2,3,3,27,4,7,11
0/cs12356092575936752935.png,1,2,3,3,1,70,8,6,11
0/cs12221007954109281756.png,1,1,12,3,0,22,10,1,4
0/cs12338238862131526154.png,0,2,6,3,2,44,9,3,11
0/cs1183919813930750473.png,1,1,12,2,6,102,10,1,9
0/cs12597932955948793648.png,0,2,3,3,0,97,8,8,11
0/cs12819289896091596704.png,1,1,7,2,6,70,1,2,4
0/cs12043675511574996057.png,2,0,9,3,6,37,1,0,11
0/cs12232094171743221928.png,0,2,7,1,2,68,6,7,0
0/cs12476298077333489587.png,0,0,1,2,1,59,0,6,11
0/cs11743088682282797184.png,0,1,7,3,3,7,1,6,7
0/cs12277540066308280340.png,1,2,10,0,2,95,4,0,9
0/cs11888731979459820259.png,0,2,9,0,5,9,1,6,10
0/cs11570881188078112255.png,1,0,11,3,5,98,0,3,11
0/cs12398890781536784027.png,0,0,13,2,4,99,1,3,9
0/cs11619428297122270358.png,1,0,10,2,4,44,9,5,11
0/cs11620256963018979061.png,0,0,2,3,3,7,10,9,3
0/cs12106846548288190697.png,2,0,3,1,2,25,7,9,11
0/cs1291369176715587786.png,1,2,3,3,1,102,6,1,9
0/cs12503137572602578427.png,0,0,1,2,1,39,5,3,11
0/cs12772070050834936107.png,2,2,3,1,5,61,4,9,11
0/cs129981346445626345.png,0,1,11,3,3,18,7,7,7
0/cs11559780366199333033.png,1,1,0,0,1,16,1,9,11
0/cs11763827985976176202.png,1,2,7,0,6,73,0,3,8
0/cs11900436403836368001.png,0,1,7,2,5,97,4,0,11
0/cs12913106703205950866.png,0,0,13,3,5,14,1,4,10
0/cs12739128524143921951.png,2,1,10,2,0,16,5,9,1
0/cs12536981172043110338.png,2,1,6,1,5,29,0,6,3
0/cs12551752175339650347.png,1,0,12,0,5,73,9,0,11
0/cs12585957927272444861.png,0,1,6,2,3,61,9,0,1
0/cs11724169453171832180.png,2,0,9,3,5,71,10,7,5
0/cs12648575048392078729.png,0,2,4,0,0,61,7,0,8
0/cs11747604412999821069.png,2,2,4,2,4,84,6,3,11
0/cs12323447176487815105.png,2,2,6,2,0,17,1,4,7
0/cs12145658589062689112.png,2,2,13,2,4,98,10,7,11
0/cs12509201449976578337.png,2,1,12,0,4,85,5,9,11
0/cs12562499539360339697.png,1,0,12,2,5,69,9,2,8
0/cs12276386023282019444.png,0,2,4,1,5,31,9,2,7
0/cs12134348056074822976.png,2,2,7,3,6,8,6,8,11
0/cs13005393764374422245.png,0,1,8,3,0,78,1,2,0
0/cs12435834915565877237.png,1,0,2,0,3,25,10,7,11
0/cs11548344432435091299.png,1,1,9,3,0,62,1,1,11
0/cs12723015836458944607.png,0,1,1,0,3,106,6,6,5
0/cs12617381049637691250.png,2,1,3,2,0,106,9,0,11
0/cs12774078765546326316.png,0,0,3,3,4,29,2,4,2
0/cs1210285627921028536.png,0,0,4,2,1,31,10,2,11
0/cs12841376674763269738.png,2,0,4,1,6,4,1,4,4
0/cs11847102924988379696.png,1,1,9,1,1,41,5,7,4
0/cs12572344164708430462.png,2,0,7,1,3,74,3,6,7
0/cs12993991444400920982.png,2,0,9,1,2,84,0,0,11
0/cs12946203194339322112.png,1,2,8,1,6,53,2,6,3
0/cs12742665684015321457.png,2,2,1,2,3,104,3,5,11
0/cs12066535471883770369.png,0,0,9,1,2,99,4,5,11
0/cs11658908360647157660.png,0,1,0,0,2,71,10,8,5
0/cs1244193761136584404.png,1,2,7,3,0,35,9,9,1
0/cs12324114834645895733.png,1,1,2,2,5,40,2,0,11
0/cs12823216857451264242.png,2,1,9,2,3,80,0,8,7
0/cs12737724788250616112.png,0,1,11,0,3,90,9,4,7
0/cs12532935229138918571.png,0,0,4,1,2,39,2,0,5
0/cs12727711338231345594.png,1,2,11,1,6,17,8,5,5
0/cs12413925517345816766.png,1,1,0,0,0,96,10,1,8
0/cs12416127462960163201.png,2,2,10,2,3,68,2,7,11
0/cs11756569417879576413.png,0,1,6,0,6,57,3,5,11
0/cs12676460652036101777.png,1,0,10,2,2,8,10,7,11
0/cs11714553781626897483.png,1,1,13,0,0,76,6,4,11
0/cs1228692470174786533.png,2,1,0,2,5,47,7,6,11
0/cs12524286097620793728.png,1,1,4,2,0,23,1,9,1
0/cs12307334525216043060.png,2,0,10,0,6,9,4,4,11
0/cs1294152469977581175.png,1,2,12,2,2,84,1,4,2
0/cs11889443623271238090.png,2,1,8,2,6,75,3,9,11
0/cs12991634824436715988.png,1,0,3,2,3,82,7,8,11
0/cs12507051807107859832.png,0,0,5,3,5,31,8,7,6
0/cs12389479560004682690.png,2,0,13,2,1,54,6,6,11
0/cs12922008811596674124.png,1,1,7,2,4,5,9,1,5
0/cs12347829348208274953.png,2,1,9,2,1,13,6,9,11
0/cs12363827880983707344.png,2,0,13,1,1,29,0,9,3
0/cs11737905228507615053.png,0,0,13,2,6,16,5,5,11
0/cs12617526837746002584.png,1,1,1,0,4,21,10,6,11
0/cs11783512385025481880.png,1,2,9,1,6,8,9,6,1
0/cs12634772748457265329.png,2,1,9,1,1,94,2,6,7
0/cs11989377101894292128.png,2,2,3,2,5,7,8,4,11
0/cs11627766845378382055.png,1,0,1,2,3,4,2,3,0
